"objid","name","kuerzel","ori","hali","vali","geometry"
"1","Affoltern","111","0.0","1","2","POINT (2680575.8 1253034.9)"
"2","Seebach","119","0.0","1","2","POINT (2683072 1253148.4)"
"3","Saatlen","121","0.0","1","2","POINT (2684968.5 1251835.4)"
"4","Höngg","101","0.0","1","2","POINT (2679781.5 1251349.1)"
"5","Wipkingen","102","0.0","1","2","POINT (2681888.8 1250165.9)"
"6","Unterstrass","61","0.0","1","2","POINT (2683088.2 1250214.5)"
"7","Oerlikon","115","0.0","1","2","POINT (2683558.2 1251430.1)"
"8","Schwamendingen-Mitte","122","0.0","1","2","POINT (2685146.8 1250814.2)"
"9","Hirzenbach","123","0.0","1","2","POINT (2686411 1250360.4)"
"10","Altstetten","92","0.0","1","2","POINT (2678582 1249177.1)"
"11","Escher Wyss","52","0.0","1","2","POINT (2681256.5 1249323)"
"12","Hard","44","0.0","1","2","POINT (2681094.5 1248447.6)"
"13","Gewerbeschule","51","0.0","1","2","POINT (2682456 1248690.8)"
"14","Langstrasse","42","0.0","1","2","POINT (2682277.8 1247993.8)"
"15","Oberstrass","63","0.0","1","2","POINT (2684141.8 1249485)"
"16","Fluntern","71","0.0","1","2","POINT (2684838.8 1248528.6)"
"17","Hottingen","72","0.0","1","2","POINT (2686378.8 1248042.4)"
"18","Albisrieden","91","0.0","1","2","POINT (2679019.5 1247215.8)"
"19","Sihlfeld","34","0.0","1","2","POINT (2680981 1247491.2)"
"20","Werd","41","0.0","1","2","POINT (2682242 1247319.6)"
"21","City","14","0.0","1","2","POINT (2682802.8 1247305.5)"
"22","Lindenhof","13","0.0","1","2","POINT (2683172 1247497.1)"
"23","Rathaus","11","0.0","1","2","POINT (2683519.8 1247376.4)"
"24","Hochschulen","12","0.0","1","2","POINT (2683541 1246659.5)"
"25","Friesenberg","33","0.0","1","2","POINT (2680289.8 1245387.5)"
"26","Alt-Wiedikon","31","0.0","1","2","POINT (2681432 1246261.4)"
"27","Enge","24","0.0","1","2","POINT (2682652 1246079.6)"
"28","Leimbach","23","0.0","1","2","POINT (2681034 1242843.6)"
"29","Wollishofen","21","0.0","1","2","POINT (2682634.5 1243804)"
"30","Seefeld","81","0.0","1","2","POINT (2684027.8 1245292.2)"
"31","Mühlebach","82","0.0","1","2","POINT (2684330.5 1246010.4)"
"32","Weinegg","83","0.0","1","2","POINT (2685559.2 1245266.2)"
"33","Hirslanden","73","0.0","1","2","POINT (2685317 1246382.4)"
"34","Witikon","74","0.0","1","2","POINT (2687462.8 1246027.6)"
